gene_id,frequency,variance
entS,0.499404052443385,0.2499996448465098
group_725,0.5017878426698451,0.2499968036185879
group_148,0.4970202622169249,0.24999112116274413
group_1120,0.5029797377830751,0.2499911211627441
group_3353,0.4958283671036949,0.24998259747897844
btuD_5~~~btuD_6~~~btuD_9~~~btuD_7,0.49463647199046484,0.24997123256729095
group_1085,0.49463647199046484,0.24997123256729095
group_2464,0.5053635280095352,0.24997123256729092
degU~~~narL,0.5065554231227652,0.24995702642768153
group_980,0.4922526817640048,0.24993997906015025
group_1137,0.4922526817640048,0.24993997906015025
phoU1,0.5077473182359953,0.24993997906015022
nirC_1~~~nirC_2,0.5089392133492253,0.24992009046469704
group_2336,0.5089392133492253,0.24992009046469704
group_1325,0.5089392133492253,0.24992009046469704
group_1381,0.5089392133492253,0.24992009046469704
group_1926,0.5089392133492253,0.24992009046469704
group_1928,0.4898688915375447,0.24989736064132198
group_3145,0.4898688915375447,0.24989736064132198
group_2229,0.4898688915375447,0.24989736064132198
group_1361,0.5101311084624554,0.24989736064132195
group_619,0.5113230035756854,0.249871789590025
group_2053,0.5113230035756854,0.249871789590025
group_3334,0.48867699642431467,0.24987178959002498
group_759,0.48867699642431467,0.24987178959002498
group_2371,0.48867699642431467,0.24987178959002498
group_3131,0.48748510131108463,0.24984337731080622
group_1932,0.5125148986889154,0.2498433773108062
gmuR~~~yurK~~~gamR,0.4862932061978546,0.24981212380366544
group_1450,0.5184743742550656,0.24965869749588376
msrP~~~msrP_2~~~msrP_1,0.48152562574493446,0.24965869749588374
group_3084,0.4803337306317044,0.24961323784913367
group_2177,0.4803337306317044,0.24961323784913367
group_22,0.4803337306317044,0.24961323784913367
group_3314,0.5196662693682956,0.24961323784913364
group_2634,0.5208581644815257,0.2495649369744616
group_2483,0.4791418355184744,0.2495649369744616
group_2413,0.5232419547079857,0.24945981154135194
group_16,0.4767580452920143,0.2494598115413519
group_3361,0.4755661501787843,0.2494029869829143
cinA_1,0.5244338498212158,0.24940298698291427
group_3240,0.5292014302741359,0.24914727646994478
group_1513,0.4696066746126341,0.2490762457718977
group_2322,0.531585220500596,0.24900237384592874
group_3232,0.531585220500596,0.24900237384592874
group_3290,0.531585220500596,0.24900237384592874
group_2058,0.531585220500596,0.24900237384592874
group_2363,0.466030989272944,0.2488461063102252
group_589,0.4636471990464839,0.24867847386283404
group_2490,0.5363528009535161,0.24867847386283404
